not enough states to describe the ground state at A_q=0.0601010101010101 and w_d=0.27928751827059384, leakage=0.01
not enough states to describe the ground state at A_q=0.06363636363636363 and w_d=0.27928751827059384, leakage=0.011
not enough states to describe the ground state at A_q=0.06717171717171717 and w_d=0.27928751827059384, leakage=0.011
not enough states to describe the ground state at A_q=0.0707070707070707 and w_d=0.27928751827059384, leakage=0.012
not enough states to describe the ground state at A_q=0.07424242424242423 and w_d=0.27928751827059384, leakage=0.013
not enough states to describe the ground state at A_q=0.07777777777777778 and w_d=0.27928751827059384, leakage=0.013
not enough states to describe the ground state at A_q=0.08131313131313131 and w_d=0.27928751827059384, leakage=0.014
not enough states to describe the ground state at A_q=0.08484848484848484 and w_d=0.27928751827059384, leakage=0.014
not enough states to describe the ground state at A_q=0.08838383838383838 and w_d=0.27928751827059384, leakage=0.015
not enough states to describe the ground state at A_q=0.09191919191919191 and w_d=0.27928751827059384, leakage=0.016
not enough states to describe the ground state at A_q=0.09545454545454544 and w_d=0.27928751827059384, leakage=0.016
not enough states to describe the ground state at A_q=0.09898989898989899 and w_d=0.27928751827059384, leakage=0.017
not enough states to describe the ground state at A_q=0.10252525252525252 and w_d=0.27928751827059384, leakage=0.017
not enough states to describe the ground state at A_q=0.10606060606060605 and w_d=0.27928751827059384, leakage=0.018
not enough states to describe the ground state at A_q=0.1095959595959596 and w_d=0.27928751827059384, leakage=0.019
not enough states to describe the ground state at A_q=0.11313131313131312 and w_d=0.27928751827059384, leakage=0.019
not enough states to describe the ground state at A_q=0.11666666666666665 and w_d=0.27928751827059384, leakage=0.02
not enough states to describe the ground state at A_q=0.1202020202020202 and w_d=0.27928751827059384, leakage=0.02
not enough states to describe the ground state at A_q=0.12373737373737373 and w_d=0.27928751827059384, leakage=0.021
not enough states to describe the ground state at A_q=0.12727272727272726 and w_d=0.27928751827059384, leakage=0.022
not enough states to describe the ground state at A_q=0.1308080808080808 and w_d=0.27928751827059384, leakage=0.022
not enough states to describe the ground state at A_q=0.13434343434343435 and w_d=0.27928751827059384, leakage=0.023
not enough states to describe the ground state at A_q=0.13787878787878788 and w_d=0.27928751827059384, leakage=0.023
not enough states to describe the ground state at A_q=0.1414141414141414 and w_d=0.27928751827059384, leakage=0.024
not enough states to describe the first excited state at A_q=0.1414141414141414 and w_d=0.27928751827059384, leakage=0.01
not enough states to describe the ground state at A_q=0.14494949494949494 and w_d=0.27928751827059384, leakage=0.025
not enough states to describe the first excited state at A_q=0.14494949494949494 and w_d=0.27928751827059384, leakage=0.01
not enough states to describe the ground state at A_q=0.14848484848484847 and w_d=0.27928751827059384, leakage=0.025
not enough states to describe the first excited state at A_q=0.14848484848484847 and w_d=0.27928751827059384, leakage=0.011
not enough states to describe the ground state at A_q=0.152020202020202 and w_d=0.27928751827059384, leakage=0.026
